Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,ORB,SIFT,500,91,56.825,25.8512,62.8516,99.4024,0,0, 162.254
1,ORB,SIFT,500,102,56.9419,26.0897,23.527,39.7011,45,0.277445, 63.5055
2,ORB,SIFT,500,106,56.2177,25.9266,10.0123,31.3746,53,0.13395, 41.5209
3,ORB,SIFT,500,113,54.8503,25.0972,10.1441,31.6392,56,0.144076, 41.9273
4,ORB,SIFT,500,109,56.4503,25.0147,10.0207,31.2363,65,0.241131, 41.4981
5,ORB,SIFT,500,124,56.2587,24.5201,9.98017,31.177,55,0.148036, 41.3052
6,ORB,SIFT,500,129,56.3262,25.4607,10.028,31.1046,64,0.127591, 41.2601
7,ORB,SIFT,500,127,54.9927,24.8558,10.1268,31.396,66,0.13486, 41.6576
8,ORB,SIFT,500,124,54.2426,25.4848,10.0778,31.1901,70,0.157027, 41.425
9,ORB,SIFT,500,125,54.1206,23.9542,10.262,31.1835,71,0.137129, 41.5826
